ID,Year,Stage,Department *,Highest Degree Earned *,[fields-of-study] Field(s) of Study * [anthropology],[fields-of-study] Field(s) of Study * [biology],[fields-of-study] Field(s) of Study * [chemistry],[fields-of-study] Field(s) of Study * [cognitive science],[fields-of-study] Field(s) of Study * [computation],[fields-of-study] Field(s) of Study * [computer science],[fields-of-study] Field(s) of Study * [ecology],[fields-of-study] Field(s) of Study * [economics],[fields-of-study] Field(s) of Study * [econophysics],[fields-of-study] Field(s) of Study * [epidemiology],[fields-of-study] Field(s) of Study * [evolution],[fields-of-study] Field(s) of Study * [finance],[fields-of-study] Field(s) of Study * [human behavior],[fields-of-study] Field(s) of Study * [human history],[fields-of-study] Field(s) of Study * [immunology],[fields-of-study] Field(s) of Study * [information theory],[fields-of-study] Field(s) of Study * [linguistics],[fields-of-study] Field(s) of Study * [mathematics],[fields-of-study] Field(s) of Study * [networks],[fields-of-study] Field(s) of Study * [neuroscience],[fields-of-study] Field(s) of Study * [physics],[fields-of-study] Field(s) of Study * [political science],[fields-of-study] Field(s) of Study * [quantum physics],[fields-of-study] Field(s) of Study * [sociology],"Current status (e.g., PhD candidate in Molecular Biology)*",City,"[diversity-country] Country of Citizenship, if not U.S. Citizen",[diversity-citizenship] What is your citizenship ?,[diversity-gender] What is your gender ?,[diversity-ethnicity] Ethnicity,[diversity-race] Race *,Date Applied,Company:,City/Town:,State/Province:,Country:,Male,Female,Citizenship,None,C,C++,HTML,JAVA,MatLab,NetLogo,Perl,Python,R,Ruby,Other (please specify),Name of the most advanced math class you took,"Name of the journal (in your discipline) that you expect or want to publish your next paper in! (Journal in your discipline, not Nature, Science, PNAS, etc.)",BA/MA and Ph.D. departments
"9812841479",2012,Accepted,Department of Public Health Sciences,Bachelors Degree,,,,,1,,,,,1,,,1,,,,,1,1,,,,,1,PhD candidate,Stockholm,China,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/06/2011 04:02 AM MST,Karolinska Institutet,Stockholm,Stockholm,Sweden,Male,,Chinese,,,,,,MatLab,,,,,,C#,,,
"9770237932",2012,Accepted,Environmental Life Sciences,Bachelors Degree,,,,,,,1,,,,,,,,,,,,,,,,,,PhD student in Environmental Life Sciences ,Tempe,China,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,Asian,12/20/2011 09:28 PM MST,Arizona State University,Tempe,Arizona,United States,,Female,Chinese,,,,,,MatLab,,,,R,,openbugs,,,
"8529096593",2016,Accepted,Physics,Bachelors Degree,,,,,,,,,,,,,,,,,,,,,1,,,,PhD candidate in Physics,,China,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/02/2016 10:14 AM MST,University of Michigan,Ann Arbor,Michigan,USA,Male,,China,,C,C++,,,MatLab,,,Python,,,,"Random Matrix Theory, Graduate level probability theory.",,
"0658570988",2015,Accepted,Computational Biology,Bachelors Degree,,1,,,1,,1,,,,1,,,,,,,,,,,,,,PhD candidate in systems biology,New York,Taiwan,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/07/2015 03:36 PM MST,Memorial Sloan Kettering Cancer Center,New York,NY,USA,Male,,Taiwan,,,,,JAVA,MatLab,,,Python,R,,MaxMSP,Linear Algebra,Proceedings of the Royal Society B,"BA: Biophysics, Johns Hopkins University  PhD: Physiology, Biophysics, and Systems Biology; Weill Cornell Gradute School"
"578155553",2016,Accepted,Computer Science,Masters,,,,1,,1,,,,,,,,,,,1,,,,,,,,PhD student in Computer Science,Stanford,Canada,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,01/16/2016 01:42 PM MST,Stanford University,Stanford,California,United States,Male,,Canada,,C,C++,HTML,JAVA,MatLab,,,Python,R,,,Probabilistic Analysis of Randomized Graph Algorithms ,Association of Computational Linguistics (ACL)  World Wide Web Conference (WWW),"BA, MA, Ph.D. in Computer Science "
"1458254603",2016,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Irvine",Irvine,CA,USA,Male,,United States,,C,C++,HTML,JAVA,MatLab,NetLogo,Perl,Python,R,Ruby,"Netlogo is not a language, they use SCALA. I also can program in quite a few other languages including LISP, Ocaml, Perl and of course brainfuck :)",Topics in Set Theory,"IEEE Computational Social Systems, Complex Systems Journal, International Journal of Game Theory","Anthropology, Computer Science, Mathematical Behavioral Sceince"
"0357748053",2016,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The MITRE Corporation,Bedford,MA,US,Male,,U.S.,,C,C++,,JAVA,MatLab,,,Python,R,,,Calculus III,IEEE Transactions on Affective Computing,Computer Science (B.S. and M.S.)  Industrial and Systems Engineering (Ph.D.)
"3519158913",2011,Accepted,Political Science,Masters,,,,,,,,,,,,,,,,,,,,,,1,,,Ph.D. student in Political Science,Urbana,,U.S. Citizen,Female,Not Hispanic or Latino,Asian,11/08/2010 01:44 PM MST,,,,,,,,,,,,,,,,,,,,,,
"6648389145",India 2015,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IISERM,,,India,Male,,indian,,,,,,,,,,,,,,,
"5065113228",2014,Accepted,Economics,Masters,,,,,,,,1,,,,,,,,,,,,,,,,,PhD in economics program,Fairfax,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,11/01/2013 01:54 PM MDT,George Mason University,Fairfax,VA,USA,Male,,Indian,,,,,,,,,Python,,,,"Topology Math 631, Department of Mathematics, George Mason University",Journal of Economic Behavior and Organization,Economics
"6023424281",2012,Accepted,Department of Physics,Masters,,,,,,,,,,,,,,,,,,,1,,1,,1,,PhD candidate in Physics,Davis,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,11/04/2011 08:51 PM MDT,"Department of Physics, UC Davis",DAVIS,CALIFORNIA,United States,Male,,India,,,,HTML,,MatLab,,,Python,,,,,,
"477196772",2011,Accepted,Center for Complex Biological Systems,Bachelors Degree,,,,1,,,,,,,,,,,,1,,,,1,,,,,Graduate Researcher,Irvine,,U.S. Citizen,Male,Hispanic or Latino,Two or More,12/11/2010 01:15 AM MST,,,,,,,,,,,,,,,,,,,,,,
"800465935",Chile 2014,Accepted,Engineering and Science,Bachelors Degree,,,,,,1,,,,,,,,,,,,1,,,1,,,,PhD candidate Complex Systems Engineering ,Providencia Santiago,Chile,Permanent Resident,Male,Hispanic or Latino,White,06/02/2013 03:12 PM MDT,Adolfo Ibanez University,Santiago,Región Metropolitana,Chile,Male,,Chilean,,C,C++,,,MatLab,,,Python,,,,"All calculus at the University, differential equation, non-lineal calculus and so on.",,
"6952062188",2013,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASP/ISP,Boulder,Colorado,United States,,Female,USA,,,C++,HTML,,,,,,,,,"Some candidates: Partial differential equations (PDE), game theory (GT), applied data analysis (DA), and convex optimization. PDE and GT were done many years ago as an undergraduate, so the expectations for my performance were not as high as for graduate students concurrently enrolled. Optimization was more recent (2008) but was probably too theoretical for my interests. Speaking frankly about my experience in those courses, I feel that I didn't learn as much as others. I learn best through applications, in which case, DA was thoroughly enjoyable.",Technological Forecasting and Social Change,BS Physics 2001; Masters Environmental Studies 2007; PhD Engineering and Public Policy 2010
"0017989345",2015,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The MITRE Corporation,McLean,VA,USA,,Female,USA,None,,,,,,,,,,,,Stochastic Foundations of Operations Research,Naval Research Logistics,"B.A., Economics  M.B.A.  M.P.A.  Ph.D. Systems Engineering (expected 2016)"
"2780720741",2012,Accepted,"School of Philosophy, Psychology, and Language Sciences",Masters,1,1,,1,1,,,,,,1,,1,,,1,1,,,,,,,,PhD candidate in Linguistics and English Language,Edinburgh,,U.S. Citizen,Female,Hispanic or Latino,White,01/05/2012 07:20 AM MST,n/a,Edinburgh,Scotland,United Kingdom,,Female,American,,,,,,,,,Python,,,"semi-comfortable with JAVA, MatLab and R",,,
"2907103063",2015,Accepted,School of Politics and Global Studies,Masters,,,,,,,,,,,,,,,,,,,,,,1,,,PhD candidate in political science,Phoenix,Russia,Permanent Resident,Male,Not Hispanic or Latino,White,12/15/2014 08:50 AM MST,Arizona State University,Tempe,Arizona,USA,Male,,Russian,,,,,,,NetLogo,,,R,,,Analysis,American Political Science Review,School of Politics and Global Studies
"8843087359",India 2015,Accepted,System Science,Bachelors Degree,,,,,1,1,,,,,,,,,,1,,1,1,,,,,,MTech in System Science,Jodhpur,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,03/12/2015 10:20 AM MDT,"Indian Institute of Technology, Jodhpur",Jodhpur,Rajasthan,India,Male,,Indian,,C,C++,,JAVA,MatLab,,,Python,,,,"Stochastic Calculus, Graphs and Matrices, Advanced Mathematics and Queuing Models",Advances in Applied Mathematics,
"0922799418",2016,Accepted,Epidemiology,M.D.,,,,,,,,,,1,,,,,,,,,,,,,,,PhD Candidate in Epidemioloy,Baltimore,Spain,Neither of the above or Prefer not to respond,Male,Hispanic or Latino,White,12/17/2015 07:18 AM MST,Johns Hopkins Bloomberg School of Public health,Baltimore,MD,USA,Male,,Spain,,,,,,,,,,R,,,Several Advanced applied biostatistics courses (Master's level).  Algebra and calculus at senior high school level,International Journal of Epidemiology,"MD - School of Medicine, University of Oviedo, Spain  MPH - National School of Public Health, Spain  PhD - Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD"
"1808134286",2015,Accepted,Psychiatry,M.D.,,,,1,,,,,,,,,,,,,,,1,1,,,,,postgraduate student,,Germany,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,01/12/2015 09:24 AM MST,Central Institute of Mental Health,Mannheim,,Germanz,Male,,Germany,,,,,,MatLab,,,,,,,Calculus Linear Algebra  Analysis,,
"1600844156",2013,Accepted,Theoretical Physics,Doctorate,,,,,,,,,,,,,,,,,,,1,,1,,,,Postdoc in Physics,Paterna,Brazil,Neither of the above or Prefer not to respond,Male,Hispanic or Latino,White,11/02/2012 10:20 AM MDT,NECSI,Cambridge,MA,USA,Male,,Brazilian,,,,,,MatLab,,,Python,,,,Mathematical Physics III,Physical Review,PhD - Universidad de Valencia (Spain)  MSc  - UNESP (Brazil)  BSc - Universidade de Sao Paulo (Brazil)
"6508593617",2016,Accepted,Electrical Engineering and Computing Systems,Masters,,,,1,1,1,1,,,,,,,,,,,,,,,,,,PhD student in Computer Science/Engineering,Cincinnati,Turkey,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,White,12/03/2015 09:41 PM MST,University of Cincinnati,Cincinnati,Ohio,United States,,Female,Turkey,,,,,,MatLab,,,Python,,,,"Complex Calculus and Transform Techniques is the most advanced math class I've taken from math department.    I've taken many math-focused Computer Science classes, such as Pattern Recognition, however I don't enlist them here.",IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),PhD Student at Computer Science/Engineering
"6629367429",India 2015,Accepted,Biology,Bachelors Degree,,1,,,,,,,,,,,,,,,,,,,,,,,Integrated PhD in Biology,Mohali,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,02/25/2015 01:21 PM MST,IISER Mohali,Mohali,Punjab,India,Male,,Indian,,,,,,MatLab,,,Python,,,,"Non-Linear Dynamics, Complex and Chaos Theory in Masters  Advanced Calculus in Bachelors ",,
"5105560904",2016,Accepted,School of Earth and Space Exploration,Bachelors Degree,,,1,,,,,,,,,,,,,,,,,,,,,,PhD Cadidate,Tempe,,U.S. Citizen,Male,Prefer not to respond,Prefer Not to Answer,01/20/2016 08:39 AM MST,Arizona State University,Tempe,AZ,United States,Male,,USA,,,,,,,,,Python,,,,Applied Multivariate Calculus ,Geochimica et Cosmochimica Acta,BS Ecology and Evolution  Ph.D. Geochemistry (Current) 
"593282975",2011,Accepted,Graduate studies,Masters,,,,1,,,,,,,,,,,,,,,,,,,,,PhD student at Interdisciplinary graduate studies program,,Chile,Neither of the above or Prefer not to respond,Male,Hispanic or Latino,Two or More,12/17/2010 12:46 PM MST,,,,,,,,,,,,,,,,,,,,,,
"4575336801",2013,Accepted,Biology,Bachelors Degree,,1,,,,,,,,,,,,,,,,,,,,,,,PhD student in biology,State College,,U.S. Citizen,Male,Not Hispanic or Latino,White,12/11/2012 12:11 AM MST,Pennsylvania State University,State College,PA,United States,Male,,American,,C,C++,,JAVA,,,,,R,,,Stochastic modeling,,
"1401196366",2015,Accepted,Autonomous Systems Program,Doctorate,,,,,,1,,,,,,,,,,,,,,,,,,,Research Scientist,,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/11/2015 07:15 PM MST,C.S.I.R.O,Brisbane,QLD,Australia,Male,,Indian,,C,C++,HTML,,MatLab,,,Python,,,,Calculus Linear Algebra Differential Equations,International Journal of Robotics Research.,
"1220865366",2012,Accepted,Inquiry Methodology - Educational Psychology,Masters,,,,,,,,,,,,,1,,,,,,,,,,,,PhD candidate in Inquiry Methodology,St. Louis,,U.S. Citizen,Male,Not Hispanic or Latino,White,12/24/2011 07:44 PM MST,Indiana University,Saint Louis,Missouri,United States,Male,,United States,,,C++,,,,NetLogo,,,,,,,,
"398878515",2014,Accepted,Mathematics,Masters,,,,,,,,,,,,,,,,,,1,1,,1,,,,PhD Student,Winooski,,U.S. Citizen,Male,Not Hispanic or Latino,White,12/28/2013 07:34 PM MST,University of Vermont,Winooski,VT,USA,Male,,United States,,,,,,MatLab,,Perl,,R,,SAS,Numerical Differential Equations,PLoS,Department of Mathematics and Statistics
"0389732538",2011,Accepted,School of Life Sciences,Masters,,1,,1,,,1,1,,,,,1,,,,,,1,,,,,1,3rd year PhD gradue student ,Tempe,Japan,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,11/30/2010 11:51 AM MST,,,,,,,,,,,,,,,,,,,,,,
"8455211895",2016,Accepted,College of Science,Masters,,,,,,,,,,,,,,,,,,,1,,,,,,PhD student in Network Science,Boston,Bangladesh,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,01/11/2016 11:10 AM MST,Northeastern University,Boston,MA,USA,Male,,Bangladesh,,,,HTML,JAVA,,,,Python,R,,,Graph Theory,Physical Review E,"BBA : Finance, MS : Computer Science, PhD: Network Science"
"1636816721",2013,Accepted,Applied Mathematics,Bachelors Degree,,,,,,,1,,,,,,,,,,,,,,,,,,PhD student in Applied Mathematics,Davis,,U.S. Citizen,Female,Not Hispanic or Latino,Asian,12/20/2012 03:38 PM MST,University of California Davis,Davis,CA,USA,,Female,United States,,,,,,MatLab,,,,R,,,"I am currently taking Functional Analysis and Numerical Analysis of PDEs.  Next quarter, I am taking Measure Theory.","I hope to publish in both journals read by Biologists, such as Evolution, and by Mathematicians, such as Journal of Differential Equations",Graduate Group in Applied Mathematics
"9580985272",India 2015,Accepted,Chemical Engineering and Process Development (CEPD),Masters,,,,,1,,,,,,,,,,,,,,,,,,,,PhD candidate in Computational Biology,PUNE,India,Neither of the above or Prefer not to respond,Male,Prefer not to respond,Asian,04/06/2015 12:12 AM MDT,CSIR- National Chemical Laboratory,Pune,Maharashtra,India,Male,,India,,C,C++,HTML,,,,Perl,,R,,,Nonlinear Dynamics,,
"8758549661",2013,Accepted,Norwegian College of Fishery Science,Masters,,1,,,,,,,,,,,,,,,,,,,,,,,PhD candidata in Marine Biology/Ecology,Tromsø,Denmark,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,White,11/28/2012 04:41 AM MST,University of Tromsø,Tromsø,Troms,Norway,,Female,Danish,,,,,,,,,,R,,,Mathematics for biologist (basic calculus).   I am lacking a course in linear algebra.,It could be Marine Ecology Progress Series (MEPS). However I would rather like to publish in PNAS or Philosophical transactions of the Royal Society of London. The latter is the world`s first science journal.,
"9152116764",2015,Accepted,Physics,Bachelors Degree,,,,,,,,,,,,,,,,1,,,1,,1,,1,,Master student at Complex Adaptive Systems,Västra Frölunda,Sweden,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,White,12/25/2014 12:13 PM MST,"Physics, Gothenburg University",Västra Frölunda,,Sweden,,Female,Swedish,,,,,,MatLab,,,,R,,,Calculus Linear Algebra Differential Equations Analysis Nonlinear Dynamics Stochastic Processes ,"I have not yet aquired a discipline, it's in the making.",BA - Physics  MA - Mathematical Sciences/Physics
"3135536",India 2015,Accepted,School of Architecture,Masters,,,,,1,,,,,,,,,,,,,,,,,,,,Assistant Professor,Tucson,,U.S. Citizen,Female,Not Hispanic or Latino,White,02/28/2015 12:46 PM MST,university of arizona,Tucson,AZ,United States,,Female,USA + UK,None,,,,,,,,,,,know basic netlogo and python only,Double maths A levels,IJAC  International Journal of Architectural Computing,B.Arch and M.Architecture...just starting PhD
"5079580289",India 2015,Accepted,School Of Basic Science,Masters,,1,,,1,,,,,,,,,,,1,,,1,,,,,,PhD Candidate in Computational Biology,bhubaneswar,India,Neither of the above or Prefer not to respond,Male,Prefer not to respond,Asian,04/14/2015 10:06 PM MDT,IIT Bhubaneswar,Bhubaneswar,Odisha,India,Male,,Indian,,,,,,,,Perl,Python,R,,,Engineering Mathematics,,
"0565073525",2014,Accepted,Center for Adaptive Behavior and Cognition,Masters,,,,,,,,1,,,,,1,,,,,,,,,,,,PhD candidate in Economics,Berlin,Serbia and Montenegro,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,01/07/2014 12:03 AM MST,"Max-Planck Institute for Human Development, Center for Adaptive Behavior and Cognition",Berlin,,Germany,Male,,Serbian,,,,,,MatLab,,,,,,,"A course in Linear Algebra at my MS studies, Operational Research program.",,
"1556285303",2013,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German Aerospace Center (DLR),Hamburg,Hamburg,Germany,Male,,German,,,,,JAVA,MatLab,,,,,,,Advanced Mathematics for Engineers and Physicists II,Transportation Research,"Pre- Diploma: University of Stuttgart  Master's: School of Aeronautics and Astronautics/ Purdue Unviersity  PhD: Institute of Air Transportation Systems, German Aerospace Center/ Technical University Hamburg-Harburg"
"3794257352",2015,Accepted,School of Public Policy,Masters,,,,,1,,,1,1,,,1,,,,,,,1,,,1,,,PhD Candidate in Financial Computing,London,Italy,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Prefer Not to Answer,12/29/2014 06:49 AM MST,University College London,London,,United Kingdom,Male,,Italian,,,,,,MatLab,,,Python,,,,Calculus Linear Algebra Differential Equations   Stochastic Processes,Journal of Banking and Finance  American Political Science Review  Global Crime,"BA in Economics and Politics, University of London  Msc in Security Sciende, University College London  Mres in Financial Computing, University College London  PhD at the UCL School of Public Policy and Financial Computing Doctoral Centre"
"6237898645",2011,Accepted,Anthropology,Bachelors Degree,1,,,,1,1,,,,,1,,,,,,,,1,,,,,,MA candidate in Anthropology,Pullman,,U.S. Citizen,Female,Not Hispanic or Latino,White,11/01/2010 02:58 PM MDT,,,,,,,,,,,,,,,,,,,,,,
"5979416468",2014,Accepted,Civil and Environmental Engineering,Masters,,,,,,,,,,,,,,,,,,,1,,,,,,PhD candidate in energy systems modeling,London,Switzerland,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,11/04/2013 01:25 AM MST,Imperial College London,London,,United Kingdom,Male,,Switzerland,,C,,HTML,,,,,Python,,,,Analysis and linear algebra,Energy Policy,BSc: Environmental Science  MSc: Environmental Policy  PhD: Civil and Environmental Engineering
"6107251493",India 2015,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IISER KOLKATA,nadia,West bengal,India,,Female,Indian,,C,,,,,,,Python,,,shell scripting,Mathematical physics  Linear Algebra  Tensor Calculus,,
"9681335941",India 2015,Accepted,Physics,Masters,,,,,,,,,,,,,,,,,,,1,,,,,,PhD candidate in Complex Systems,Pune,India,Permanent Resident,Male,Not Hispanic or Latino,Asian,03/25/2015 02:56 AM MDT,"Indian Institute of Science Education and Research, Pune",Pune,Maharashtra,India,Male,,Indian ,,,,,,,,,Python,,,Fortran 95,Advanced Linear Algebra,Physical Review E,
"5668598697",2016,Accepted,Princeton Neuroscience Institute,Doctorate,,,,,,,,,,,,,,,,,,,,1,,,,,Postdoctoral fellow in neuroscience,Princeton,Iran,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,01/21/2016 12:33 PM MST,Princeton University ,Princeton,NJ,United States,Male,,Iranian,,,,,,MatLab,,,,,,,Nonlinear Dynamical Systems,Neuron,
"5389041731",2016,Accepted,CASE,Masters,,,,1,,1,,1,,,1,,1,1,,,,,1,,,1,,,PhD Student in Biomedicine,Barcelona,France,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,White,11/19/2015 04:03 AM MST,Barcelona Supercomputing Center,Barcelona,Barcelona,Spain,Male,,French,,,C++,,,,NetLogo,,Python,R,,,Quadratic Form and Fourier Analysis,"Frontiers in Robotics and AI, section Evolutionary Robotics",
"2595660188",2012,Accepted,Department of Ecology and Evolution,Other,,,,,1,,1,,,,,,,,,,,,1,,,,,,PhD Candidate in Ecology,Chicago,China,Neither of the above or Prefer not to respond,Female,Not Hispanic or Latino,Asian,11/04/2011 12:06 PM MDT,The University of Chicago,Chicago,IL,USA,,Female,China,,C,,HTML,,MatLab,,,Python,R,,,,,
"0574973302",2011,Accepted,Chemical and Biomolecular Engineering,Masters,,,,,,,1,,,,,,,,,1,,,1,,,,,,PhD Candidate in Chemical Engineering,Columbus ,India,Permanent Resident,Female,Not Hispanic or Latino,Asian,11/03/2010 10:38 AM MDT,,,,,,,,,,,,,,,,,,,,,,
"5089187492",India 2015,Accepted,Computer Science and Engineering,Other,,,,,,1,,,,,,,,,,,,1,1,,,,,,Undergraduate in computer science (expected completion: May 2016),Hyderabad,India,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,03/24/2015 01:22 AM MDT,Indian Institute of Technology Guwahati,Hyderabad,Telangana,India,Male,,Indian,,C,C++,,,MatLab,,,Python,,,,(MA 202) Multi variable calculus and Partial differential equations,,
"5667775308",India 2015,Accepted,Economics and Social Sciences,Masters,,,,,,,,1,,,,,1,,,,,,,,,1,,1,Lecturer in Economics,Dhaka,Bangladesh,Neither of the above or Prefer not to respond,Male,Not Hispanic or Latino,Asian,03/11/2015 08:22 AM MDT,university of arizona,Tucson,AZ,United States,,Female,USA + UK,None,,,,,,,,,,,know basic netlogo and python only,Double maths A levels,IJAC  International Journal of Architectural Computing,B.Arch and M.Architecture...just starting PhD
"6874992038",2012,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSSS,charlotte,NC,United States,,Female,US,,,,HTML,,,,,,,,UNIX,,,
