 ,Francesca_Lipari,Nicholas_Mathis,Cornelia_Metzig,Jos%C3%A9_Aguilar-Rodr%C3%ADguez,Elizabeth_Lusczek,Rohan_Mehta,James_Holdener,Vipin_P._Veetil,Massimo_Stella,Shai_Gorsky,Heath_Henderson,Junjian_Qi,Renske_Vroomans,Jessica_Santana,Leto_Peel,Nhat_Nguyen,Claire_Lagesse,Michael_Kalyuzhny,Hiroshi_Ashikaga,Brais_Alvarez-Pereira,Claudius_Graebner,Fahad_Khalid,Bernardo_Alves_Furtado,Leonhard_Horstmeyer,Flavia_Maria_Darcie_Marquitti,Anna_Olson,Glen_Otero,Ellsworth_Campbell,Ali_Kharrazi,Sarah_Marzen,Diana_LaScala-Gruenewald,Stojan_Davidovic,Thomas_McAndrew,Matthew_Ayres,Morgan_Edwards,Lin_Li,Sarah_Laborde,Degang_Wu,Diego_Barneche_Rosado,Andy_Maloney,Catherine_Bale,Nicolas-Kirti_Scholtes,Em%C3%ADlia_Garcia_Casademont,Qiao_Zhi,Sanja_Selakovic,Blaz_Krese,Sean_M._Gibbons,Alberto_Antonioni,Ana_Maria_Gomez_Lopez,Jennifer_Hellmann,Brian_Thompson,Luis_Alberto_Mart%C3%ADnez_Vaquero,Sean_Hayes,Pooya_Rezaei,Yu_Ernest_Liu,Alireza_Goudarz,James_Gentile,Alex_Brummer,Stefan_Pfenninger,Cecilia_Siliansky_de_Andreazzi
"Towards a Unified Theory of Biodiversity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Coupling of different types of networks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Co-evolution of Anti-vaccination Sentiment and Flu Infections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Consciousness as an emergent state of matter – what do you think?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
"Tradeoffs between division of labor and stability in networks",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"How can evolutionary game theory be applied to electricity trading",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Information Theory of the Heart",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cells and Software: Is Evolution a Software Engineer?",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Susceptibility of Fields of Research to Interdisciplinary Influences (network perspective)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Simple case for studying about “from single-cell to multi-cell - species collaboration”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"An Analysis of the Hierarchies Present in Modern Economic Theory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Topological Modeling of Infrastructure Networks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Functional Networks and their evolution",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Complex systems approaches applied to data scarce environments - Logone floodplain of Cameroon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"The architecture of an empirical genotype-phenotype mapping",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Network robustness as a function of nodes' resilience",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Optimal Quarantine Strategies in Financial Networks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cough analysis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Using Natural Network Lessons in Modern Network Environments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Economic inequality, kinship networks, and political transitions",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
